Listing_id,negative,positive,Total,Positive Ratio,Negative Ratio
14899945,3,85,88,0.97,0.03
14900960,41,417,458,0.91,0.09
14934441,39,698,737,0.95,0.05
14941161,42,376,418,0.90,0.10
14963589,44,799,843,0.95,0.05
14976451,3,158,161,0.98,0.02
15009504,61,861,922,0.93,0.07
15009920,1,36,37,0.97,0.03
15016101,15,264,279,0.95,0.05
15055380,46,455,501,0.91,0.09
15091721,119,516,635,0.81,0.19
15091813,31,653,684,0.95,0.05
15124397,70,1073,1143,0.94,0.06
15132769,22,414,436,0.95,0.05
15158878,34,680,714,0.95,0.05
15174633,17,87,104,0.84,0.16
15192947,44,489,533,0.92,0.08
15194828,29,366,395,0.93,0.07
15229458,,4,4,1.00,0.00
15230720,38,865,903,0.96,0.04
15231248,52,524,576,0.91,0.09
15248786,16,170,186,0.91,0.09
15268297,24,265,289,0.92,0.08
15271420,86,679,765,0.89,0.11
15297764,39,620,659,0.94,0.06
15321136,33,204,237,0.86,0.14
15327549,3,88,91,0.97,0.03
15336786,25,306,331,0.92,0.08
15339276,45,792,837,0.95,0.05
15343687,22,653,675,0.97,0.03
15345095,42,949,991,0.96,0.04
15351409,43,254,297,0.86,0.14
15354741,5,59,64,0.92,0.08
15355010,8,187,195,0.96,0.04
15371871,25,828,853,0.97,0.03
15419328,1,45,46,0.98,0.02
15422307,54,968,1022,0.95,0.05
15437202,17,289,306,0.94,0.06
15444450,8,119,127,0.94,0.06
15462269,8,65,73,0.89,0.11
15467289,14,205,219,0.94,0.06
15475292,73,1184,1257,0.94,0.06
15476300,13,83,96,0.86,0.14
15481467,55,949,1004,0.95,0.05
15506149,65,489,554,0.88,0.12
15507809,23,204,227,0.90,0.10
15510852,90,317,407,0.78,0.22
15516714,4,129,133,0.97,0.03
15530268,60,1005,1065,0.94,0.06
15544670,,1,1,1.00,0.00
15546661,49,688,737,0.93,0.07
15547377,44,698,742,0.94,0.06
15565423,3,55,58,0.95,0.05
15568000,71,310,381,0.81,0.19
15577790,3,76,79,0.96,0.04
15579134,27,445,472,0.94,0.06
15647883,60,790,850,0.93,0.07
15653105,5,58,63,0.92,0.08
15664695,56,874,930,0.94,0.06
15685101,43,669,712,0.94,0.06
15701324,26,610,636,0.96,0.04
15706129,34,599,633,0.95,0.05
15718256,168,791,959,0.82,0.18
15728861,16,268,284,0.94,0.06
15757654,11,125,136,0.92,0.08
15780601,28,312,340,0.92,0.08
15788106,17,265,282,0.94,0.06
15805048,15,142,157,0.90,0.10
15806748,39,394,433,0.91,0.09
15817222,37,423,460,0.92,0.08
15827350,18,474,492,0.96,0.04
15830900,16,179,195,0.92,0.08
15843857,15,365,380,0.96,0.04
15867765,66,1162,1228,0.95,0.05
15868200,34,1244,1278,0.97,0.03
15880423,33,412,445,0.93,0.07
15922343,,1,1,1.00,0.00
15929513,10,155,165,0.94,0.06
15936945,2,10,12,0.83,0.17
15995355,29,512,541,0.95,0.05
16003488,26,149,175,0.85,0.15
16024372,35,957,992,0.96,0.04
16029611,20,141,161,0.88,0.12
16037508,5,63,68,0.93,0.07
16046793,16,397,413,0.96,0.04
16060869,23,437,460,0.95,0.05
16147877,17,664,681,0.98,0.02
16155218,18,235,253,0.93,0.07
16185806,38,280,318,0.88,0.12
16186167,24,210,234,0.90,0.10
16203903,49,646,695,0.93,0.07
16211914,38,607,645,0.94,0.06
16267469,,87,87,1.00,0.00
16267550,24,224,248,0.90,0.10
16284468,51,330,381,0.87,0.13
16294435,14,229,243,0.94,0.06
16350883,96,769,865,0.89,0.11
16378928,14,137,151,0.91,0.09
16384751,24,331,355,0.93,0.07
16446590,30,276,306,0.90,0.10
16451105,2,112,114,0.98,0.02
16476358,67,896,963,0.93,0.07
16477857,49,614,663,0.93,0.07
16490888,13,89,102,0.87,0.13
16505517,1,16,17,0.94,0.06
16506906,68,789,857,0.92,0.08
16512718,4,187,191,0.98,0.02
16532936,11,134,145,0.92,0.08
16533200,99,424,523,0.81,0.19
16559799,34,383,417,0.92,0.08
16566334,44,772,816,0.95,0.05
16566932,30,428,458,0.93,0.07
16583758,15,148,163,0.91,0.09
16587446,90,669,759,0.88,0.12
16603497,60,571,631,0.90,0.10
16603859,36,326,362,0.90,0.10
16627563,9,324,333,0.97,0.03
16636978,13,137,150,0.91,0.09
16652322,49,359,408,0.88,0.12
16660917,13,126,139,0.91,0.09
16670320,10,55,65,0.85,0.15
16733596,44,1422,1466,0.97,0.03
16740685,12,332,344,0.97,0.03
16742264,30,401,431,0.93,0.07
16774726,36,761,797,0.95,0.05
16810083,47,1382,1429,0.97,0.03
16826141,7,106,113,0.94,0.06
16832848,11,202,213,0.95,0.05
16846899,37,501,538,0.93,0.07
16879450,23,204,227,0.90,0.10
16937948,7,95,102,0.93,0.07
16937957,5,45,50,0.90,0.10
16937982,2,18,20,0.90,0.10
16937995,15,121,136,0.89,0.11
16937997,17,181,198,0.91,0.09
16938004,,4,4,1.00,0.00
16977918,82,758,840,0.90,0.10
17036413,4,88,92,0.96,0.04
17039544,,8,8,1.00,0.00
17095670,33,242,275,0.88,0.12
17116810,31,384,415,0.93,0.07
17124352,8,288,296,0.97,0.03
17140023,10,273,283,0.96,0.04
17155164,79,890,969,0.92,0.08
17157429,29,584,613,0.95,0.05
17206606,21,160,181,0.88,0.12
17240001,6,59,65,0.91,0.09
17251841,2,98,100,0.98,0.02
17310280,68,829,897,0.92,0.08
17345566,5,30,35,0.86,0.14
17364637,49,935,984,0.95,0.05
17364692,68,794,862,0.92,0.08
17395670,25,594,619,0.96,0.04
17403585,45,346,391,0.88,0.12
17416267,6,64,70,0.91,0.09
